experiment,square_id,model,order,val_MAE,aic,bic,status,rationale,timestamp,sequence_length,hidden_size,num_layers,lr,train_seconds,epochs_run,best_epoch,stopped_early,n_parameters,kernel_size,dropout
1,5161,SARIMAX,"(1, 1, 1)",101.41,-4543.2,-4411.0,ok,,2026-09-17 11:10:06,,,,,,,,,,,
2,5161,SARIMAX,"(3, 0, 2)",102.08,-4648.2,-4496.2,ok,,2026-09-17 11:10:06,,,,,,,,,,,
3,5161,SARIMAX,"(2, 0, 1)",102.52,-4513.8,-4375.0,ok,,2026-09-17 11:10:06,,,,,,,,,,,
4,5161,SARIMAX,"(1, 0, 0)",118.63,-3813.4,-3687.9,ok,,2026-09-17 11:10:06,,,,,,,,,,,
5,5161,LSTM,,109.55,,,,,2026-09-17 11:10:16,24.0,32,1,0.003,10.1,27.0,18.0,True,4519.0,,
6,5161,LSTM,,109.64,,,,,2026-09-17 11:10:30,24.0,32,1,0.001,13.3,46.0,37.0,True,4519.0,,
7,5161,LSTM,,119.74,,,,,2026-09-17 11:10:39,24.0,32,2,0.003,8.9,24.0,15.0,True,12967.0,,
8,5161,LSTM,,118.01,,,,,2026-09-17 11:10:58,24.0,32,2,0.001,19.6,59.0,50.0,True,12967.0,,
9,5161,LSTM,,107.71,,,,,2026-09-17 11:11:08,24.0,64,1,0.003,9.0,30.0,21.0,True,17223.0,,
10,5161,LSTM,,109.1,,,,,2026-09-17 11:11:30,24.0,64,1,0.001,22.2,60.0,58.0,False,17223.0,,
11,5161,LSTM,,116.5,,,,,2026-09-17 11:11:39,24.0,64,2,0.003,9.2,24.0,15.0,True,50503.0,,
12,5161,LSTM,,117.29,,,,,2026-09-17 11:11:51,24.0,64,2,0.001,12.2,34.0,25.0,True,50503.0,,
13,5161,LSTM,,103.27,,,,,2026-09-17 11:12:05,24.0,128,1,0.003,13.1,35.0,26.0,True,67207.0,,
14,5161,LSTM,,104.92,,,,,2026-09-17 11:12:17,24.0,128,1,0.001,12.9,35.0,26.0,True,67207.0,,
15,5161,LSTM,,107.49,,,,,2026-09-17 11:12:35,24.0,128,2,0.003,17.7,26.0,17.0,True,199303.0,,
16,5161,LSTM,,105.81,,,,,2026-09-17 11:12:59,24.0,128,2,0.001,24.0,39.0,30.0,True,199303.0,,
17,5161,LSTM,,107.89,,,,,2026-09-17 11:13:10,144.0,32,1,0.003,10.3,17.0,8.0,True,4519.0,,
18,5161,LSTM,,112.05,,,,,2026-09-17 11:13:31,144.0,32,1,0.001,21.3,36.0,27.0,True,4519.0,,
19,5161,LSTM,,117.75,,,,,2026-09-17 11:13:52,144.0,32,2,0.003,20.8,22.0,13.0,True,12967.0,,
20,5161,LSTM,,118.02,,,,,2026-09-17 11:14:39,144.0,32,2,0.001,47.3,51.0,42.0,True,12967.0,,
21,5161,LSTM,,107.01,,,,,2026-09-17 11:15:04,144.0,64,1,0.003,24.2,36.0,27.0,True,17223.0,,
22,5161,LSTM,,111.7,,,,,2026-09-17 11:15:31,144.0,64,1,0.001,27.3,42.0,33.0,True,17223.0,,
23,5161,LSTM,,117.29,,,,,2026-09-17 11:15:48,144.0,64,2,0.003,16.7,13.0,4.0,True,50503.0,,
24,5161,LSTM,,115.09,,,,,2026-09-17 11:16:42,144.0,64,2,0.001,54.4,43.0,34.0,True,50503.0,,
25,5161,LSTM,,103.35,,,,,2026-09-17 11:17:17,144.0,128,1,0.003,34.7,24.0,15.0,True,67207.0,,
26,5161,LSTM,,104.99,,,,,2026-09-17 11:18:18,144.0,128,1,0.001,60.5,43.0,34.0,True,67207.0,,
27,5161,LSTM,,107.48,,,,,2026-09-17 11:19:09,144.0,128,2,0.003,50.7,17.0,8.0,True,199303.0,,
28,5161,LSTM,,106.31,,,,,2026-09-17 11:20:59,144.0,128,2,0.001,109.6,37.0,28.0,True,199303.0,,
29,5161,LSTM,,107.73,,,,,2026-09-17 11:21:19,288.0,32,1,0.003,20.4,22.0,13.0,True,4519.0,,
30,5161,LSTM,,108.85,,,,,2026-09-17 11:21:58,288.0,32,1,0.001,38.8,43.0,34.0,True,4519.0,,
31,5161,LSTM,,119.15,,,,,2026-09-17 11:22:54,288.0,32,2,0.003,56.0,31.0,22.0,True,12967.0,,
32,5161,LSTM,,121.29,,,,,2026-09-17 11:24:21,288.0,32,2,0.001,87.4,48.0,39.0,True,12967.0,,
33,5161,LSTM,,106.79,,,,,2026-09-17 11:25:10,288.0,64,1,0.003,48.6,34.0,25.0,True,17223.0,,
34,5161,LSTM,,112.23,,,,,2026-09-17 11:25:59,288.0,64,1,0.001,48.8,40.0,31.0,True,17223.0,,
35,5161,LSTM,,113.07,,,,,2026-09-17 11:27:31,288.0,64,2,0.003,91.7,38.0,29.0,True,50503.0,,
36,5161,LSTM,,116.25,,,,,2026-09-17 11:29:02,288.0,64,2,0.001,90.8,38.0,29.0,True,50503.0,,
37,5161,LSTM,,105.4,,,,,2026-09-17 11:29:38,288.0,128,1,0.003,35.5,15.0,6.0,True,67207.0,,
38,5161,LSTM,,104.76,,,,,2026-09-17 11:31:33,288.0,128,1,0.001,115.4,46.0,37.0,True,67207.0,,
39,5161,LSTM,,104.63,,,,,2026-09-17 11:35:22,288.0,128,2,0.003,228.0,38.0,29.0,True,199303.0,,
40,5161,LSTM,,106.7,,,,,2026-09-17 11:40:38,288.0,128,2,0.001,316.1,52.0,43.0,True,199303.0,,
41,5161,TCN,,102.16,,,,,2026-09-17 11:41:11,144.0,,,0.003,32.5,29.0,20.0,True,21959.0,3,0.1
42,5161,TCN,,103.21,,,,,2026-09-17 11:41:35,144.0,,,0.001,23.4,18.0,9.0,True,21959.0,3,0.1
43,5161,TCN,,100.75,,,,,2026-09-17 11:42:05,144.0,,,0.003,30.6,29.0,20.0,True,21959.0,3,0.2
44,5161,TCN,,108.72,,,,,2026-09-17 11:42:28,144.0,,,0.001,22.4,21.0,12.0,True,21959.0,3,0.2
45,5161,TCN,,97.75,,,,,2026-09-17 11:43:09,144.0,,,0.003,41.2,32.0,23.0,True,36359.0,5,0.1
46,5161,TCN,,104.62,,,,,2026-09-17 11:43:36,144.0,,,0.001,27.1,19.0,10.0,True,36359.0,5,0.1
47,5161,TCN,,101.24,,,,,2026-09-17 11:43:54,144.0,,,0.003,17.8,15.0,6.0,True,36359.0,5,0.2
48,5161,TCN,,105.57,,,,,2026-09-17 11:44:28,144.0,,,0.001,33.3,29.0,20.0,True,36359.0,5,0.2
49,5161,TCN,,105.81,,,,,2026-09-17 11:45:06,288.0,,,0.003,37.8,21.0,12.0,True,21959.0,3,0.1
50,5161,TCN,,106.51,,,,,2026-09-17 11:45:32,288.0,,,0.001,26.4,15.0,6.0,True,21959.0,3,0.1
51,5161,TCN,,113.63,,,,,2026-09-17 11:45:51,288.0,,,0.003,18.3,10.0,1.0,True,21959.0,3,0.2
52,5161,TCN,,105.9,,,,,2026-09-17 11:46:31,288.0,,,0.001,40.5,20.0,11.0,True,21959.0,3,0.2
53,5161,TCN,,98.15,,,,,2026-09-17 11:47:24,288.0,,,0.003,52.6,24.0,15.0,True,36359.0,5,0.1
54,5161,TCN,,101.67,,,,,2026-09-17 11:48:16,288.0,,,0.001,51.8,25.0,16.0,True,36359.0,5,0.1
55,5161,TCN,,101.22,,,,,2026-09-17 11:49:03,288.0,,,0.003,47.2,24.0,15.0,True,36359.0,5,0.2
56,5161,TCN,,105.76,,,,,2026-09-17 11:50:02,288.0,,,0.001,58.4,30.0,21.0,True,36359.0,5,0.2
