label,rss_before_mb,rss_after_mb,rss_peak_mb,rss_delta_mb,python_peak_mb,wall_seconds,raw_rows,file
ingest:sms-call-internet-mi-2013-11-01.txt,998.1,1220.6,1220.6,222.5,48.2,2.08,4842625,sms-call-internet-mi-2013-11-01.txt
ingest:sms-call-internet-mi-2013-11-02.txt,1220.6,1257.4,1269.3,36.8,48.7,2.04,4745086,sms-call-internet-mi-2013-11-02.txt
ingest:sms-call-internet-mi-2013-11-03.txt,1257.4,1264.8,1305.9,7.4,48.5,2.03,4722579,sms-call-internet-mi-2013-11-03.txt
ingest:sms-call-internet-mi-2013-11-04.txt,1264.8,1248.6,1313.4,-16.2,48.5,2.38,5639488,sms-call-internet-mi-2013-11-04.txt
ingest:sms-call-internet-mi-2013-11-05.txt,1248.6,1228.1,1297.2,-20.5,48.6,2.49,5874140,sms-call-internet-mi-2013-11-05.txt
ingest:sms-call-internet-mi-2013-11-06.txt,1228.1,1248.5,1276.9,20.5,48.8,2.49,5912097,sms-call-internet-mi-2013-11-06.txt
ingest:sms-call-internet-mi-2013-11-07.txt,1248.5,1255.0,1297.4,6.5,48.8,2.48,5886883,sms-call-internet-mi-2013-11-07.txt
ingest:sms-call-internet-mi-2013-11-08.txt,1255.0,1273.5,1303.6,18.5,48.6,2.49,5918856,sms-call-internet-mi-2013-11-08.txt
ingest:sms-call-internet-mi-2013-11-09.txt,1273.5,1250.7,1322.2,-22.8,48.7,2.17,5052416,sms-call-internet-mi-2013-11-09.txt
ingest:sms-call-internet-mi-2013-11-10.txt,1250.7,1264.7,1299.3,14.0,48.6,2.03,4731582,sms-call-internet-mi-2013-11-10.txt
ingest:sms-call-internet-mi-2013-11-11.txt,1264.7,1287.6,1313.2,22.9,48.5,2.32,5478993,sms-call-internet-mi-2013-11-11.txt
ingest:sms-call-internet-mi-2013-11-12.txt,1287.6,1273.0,1336.3,-14.6,48.7,2.36,5597591,sms-call-internet-mi-2013-11-12.txt
ingest:sms-call-internet-mi-2013-11-13.txt,1273.0,1295.1,1322.0,22.1,49.0,2.4,5689517,sms-call-internet-mi-2013-11-13.txt
ingest:sms-call-internet-mi-2013-11-14.txt,1295.1,1316.0,1344.2,20.8,49.1,2.4,5703373,sms-call-internet-mi-2013-11-14.txt
ingest:sms-call-internet-mi-2013-11-15.txt,1316.0,1315.3,1365.1,-0.6,49.1,2.41,5708802,sms-call-internet-mi-2013-11-15.txt
ingest:sms-call-internet-mi-2013-11-16.txt,1315.3,1333.1,1364.1,17.8,48.8,2.08,4847779,sms-call-internet-mi-2013-11-16.txt
ingest:sms-call-internet-mi-2013-11-17.txt,1333.1,1354.6,1381.7,21.5,48.6,1.98,4611954,sms-call-internet-mi-2013-11-17.txt
ingest:sms-call-internet-mi-2013-11-18.txt,1354.6,1344.0,1403.2,-10.6,48.6,2.29,5417835,sms-call-internet-mi-2013-11-18.txt
ingest:sms-call-internet-mi-2013-11-19.txt,1344.0,1366.2,1392.7,22.2,48.7,2.35,5577668,sms-call-internet-mi-2013-11-19.txt
ingest:sms-call-internet-mi-2013-11-20.txt,1366.2,1387.3,1415.4,21.1,49.2,2.38,5643712,sms-call-internet-mi-2013-11-20.txt
ingest:sms-call-internet-mi-2013-11-21.txt,1387.3,1424.8,1436.8,37.6,49.6,2.37,5616011,sms-call-internet-mi-2013-11-21.txt
ingest:sms-call-internet-mi-2013-11-22.txt,1424.8,1461.5,1474.6,36.6,49.8,2.38,5634579,sms-call-internet-mi-2013-11-22.txt
ingest:sms-call-internet-mi-2013-11-23.txt,1461.5,1480.4,1510.8,19.0,49.3,2.11,4779119,sms-call-internet-mi-2013-11-23.txt
ingest:sms-call-internet-mi-2013-11-24.txt,1480.4,1448.5,1529.2,-32.0,48.7,1.97,4548405,sms-call-internet-mi-2013-11-24.txt
ingest:sms-call-internet-mi-2013-11-25.txt,1448.5,1471.3,1497.5,22.9,49.0,2.29,5365586,sms-call-internet-mi-2013-11-25.txt
ingest:sms-call-internet-mi-2013-11-26.txt,1471.3,1505.6,1520.4,34.2,49.1,2.32,5491322,sms-call-internet-mi-2013-11-26.txt
ingest:sms-call-internet-mi-2013-11-27.txt,1505.6,1495.9,1555.2,-9.7,49.6,2.31,5448926,sms-call-internet-mi-2013-11-27.txt
ingest:sms-call-internet-mi-2013-11-28.txt,1495.9,1501.7,1545.0,5.8,49.2,2.32,5472300,sms-call-internet-mi-2013-11-28.txt
ingest:sms-call-internet-mi-2013-11-29.txt,1501.7,1512.9,1551.2,11.1,49.5,2.32,5482752,sms-call-internet-mi-2013-11-29.txt
ingest:sms-call-internet-mi-2013-11-30.txt,1512.9,1528.5,1561.8,15.6,48.9,2.02,4666027,sms-call-internet-mi-2013-11-30.txt
ingest:sms-call-internet-mi-2013-12-01.txt,1528.5,1537.5,1577.1,9.0,48.7,1.99,4438331,sms-call-internet-mi-2013-12-01.txt
ingest:sms-call-internet-mi-2013-12-02.txt,1537.5,1538.1,1586.4,0.6,48.9,2.25,5320367,sms-call-internet-mi-2013-12-02.txt
ingest:sms-call-internet-mi-2013-12-03.txt,1538.1,1552.8,1587.2,14.7,49.1,2.33,5545148,sms-call-internet-mi-2013-12-03.txt
ingest:sms-call-internet-mi-2013-12-04.txt,1552.8,1557.9,1602.0,5.1,49.1,2.35,5501001,sms-call-internet-mi-2013-12-04.txt
ingest:sms-call-internet-mi-2013-12-05.txt,1557.9,1555.2,1606.9,-2.7,49.0,2.37,5523429,sms-call-internet-mi-2013-12-05.txt
ingest:sms-call-internet-mi-2013-12-06.txt,1555.2,1561.5,1604.2,6.3,49.0,2.34,5525307,sms-call-internet-mi-2013-12-06.txt
ingest:sms-call-internet-mi-2013-12-07.txt,1561.5,1568.4,1610.6,6.9,49.1,1.99,4590100,sms-call-internet-mi-2013-12-07.txt
ingest:sms-call-internet-mi-2013-12-08.txt,1568.4,1572.7,1617.2,4.3,48.8,1.88,4357172,sms-call-internet-mi-2013-12-08.txt
