model,square_id,MAE,RMSE,MAPE_all_%,MAPE_above_p10_%,sMAPE_%,WAPE_%,R2,MASE,train_time_s,train_time_std_s,infer_time_s,infer_time_per_step_ms,n_parameters
Persistence,5161,92.80192378210643,134.87775184794256,9.194349520326819,8.95679122450519,9.09646698674001,6.421615529061827,0.9901944546089868,0.2671378059023944,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5161,338.593716424609,619.0400468502735,25.939769093545706,24.488385338468944,22.828101424270645,23.42967234752806,0.7934483788548203,0.9746692612793431,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5161,127.01487721841801,191.61959956906864,13.29150118443288,12.362443556105822,13.465240383289686,8.78904956628649,0.980208852569765,0.3656225456786543,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5161,85.62498430313121,132.7229690850161,7.7520783760309575,7.61829237093083,7.725031500114065,5.924992785361653,0.9905052552381838,0.24647840804325882,4.169,0.021,0.0283,0.0281,20.0
LSTM,5161,83.12746020725795,126.29394595292797,7.89841881516762,7.775151002652994,7.789276450022177,5.752171588724367,0.9914028167726027,0.23928908394340018,11.645,1.25,0.0128,0.0127,67207.0
TCN,5161,78.66085573983571,118.55938260223371,7.490157883840531,7.441406752106492,7.311732386289663,5.443095920449201,0.9924235986017694,0.22643160353100514,34.734,0.523,0.036,0.0358,36359.0
Persistence,5059,81.51690810067313,114.37505432703509,7.959074160698962,7.7517425053610935,7.9088543598852254,6.4417796533593545,0.9851388675221262,0.30159720465011325,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5059,171.73574326530334,245.87018090112915,18.018542469452886,16.49093309861789,16.62099831909166,13.57121905745885,0.9313246311799841,0.6353899002567457,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5059,97.20900425582965,137.37855248360378,9.710688301103616,9.652285152949437,9.640227461408763,7.681829455125708,0.9785598829991776,0.359655004507428,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5059,67.21695176226855,97.64551043474638,6.456798201335137,6.238219989406799,6.447870268653194,5.311742095127909,0.9891683694384436,0.24869005987770404,6.828,0.084,0.0282,0.0279,20.0
LSTM,5059,72.02344160231333,103.86473192239461,6.716611937363134,6.64878211095896,6.622415517671025,5.6915694116576345,0.9877446565123219,0.2664731668884164,8.024,0.066,0.0128,0.0127,67207.0
TCN,5059,77.8152954464867,112.8956220765096,7.108933111169192,7.056168912826152,6.9342214442077,6.149263982243527,0.985520836212117,0.28790193510159984,21.591,0.073,0.0359,0.0356,36359.0
Persistence,5259,75.96750357794383,109.57840345201546,8.114780664300802,7.808086659044592,8.074070907644762,6.00486913163922,0.9904466885272782,0.14506663235613879,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5259,470.32050983489506,861.6205590559493,71.6210296449284,57.078597559335655,42.61268977364358,37.176594971120714,0.40934197800493655,0.8981183963715181,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5259,111.74333613007157,163.20105635517479,16.698243240913676,13.251102122998972,17.486060535169205,8.832778203714325,0.9788090741648954,0.21338373247973835,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5259,65.06362633304816,93.48942364199456,7.131027041345607,6.774012939675692,7.104499464892132,5.142969598296288,0.9930460916057893,0.12424471934015022,3.335,0.006,0.0283,0.0281,20.0
LSTM,5259,69.80150501311772,99.58350664593993,7.391816969475,7.219256353807409,7.4056098014573895,5.517476329404158,0.9921099667995606,0.1332921155590407,4.775,0.048,0.0128,0.0127,67207.0
TCN,5259,60.30398165990436,87.43796997131356,6.43307119130017,6.20507054022361,6.332487679459247,4.766742369162614,0.9939171916588121,0.11515575904232526,43.498,0.727,0.0357,0.0354,36359.0
