model,square_id,train_time_s,train_time_std_s,infer_time_s,infer_time_per_step_ms,n_parameters
Persistence,5161,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5161,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5161,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5161,4.169,0.021,0.0283,0.0281,20.0
LSTM,5161,11.645,1.25,0.0128,0.0127,67207.0
TCN,5161,34.734,0.523,0.036,0.0358,36359.0
Persistence,5059,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5059,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5059,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5059,6.828,0.084,0.0282,0.0279,20.0
LSTM,5059,8.024,0.066,0.0128,0.0127,67207.0
TCN,5059,21.591,0.073,0.0359,0.0356,36359.0
Persistence,5259,0.0,0.0,0.0,0.0,
SeasonalNaive(m=144),5259,0.0,0.0,0.0,0.0,
DriftedSeasonalNaive(m=144),5259,0.0,0.0,0.0001,0.0001,
"SARIMAX(1, 1, 1)+Fourier",5259,3.335,0.006,0.0283,0.0281,20.0
LSTM,5259,4.775,0.048,0.0128,0.0127,67207.0
TCN,5259,43.498,0.727,0.0357,0.0354,36359.0
